5.3713 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
18.4022 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
20.1178 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000018319B7BD00>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001831CE0CA60>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
20.1180 	EXP 	window1: mouseVisible = True
20.1182 	EXP 	window1: mouseVisible = False
20.1183 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
20.1183 	EXP 	window1: recordFrameIntervals = False
20.2836 	EXP 	window1: recordFrameIntervals = True
20.4671 	EXP 	Screen (0) actual frame rate measured at 60.03Hz
20.4672 	EXP 	window1: recordFrameIntervals = False
24.3138 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
24.3349 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
24.3406 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
24.3425 	EXP 	New trial (rep=0, index=0): None
24.3918 	EXP 	grating: ori = 0.0
24.3918 	EXP 	fixation: autoDraw = True
24.3918 	EXP 	grating: autoDraw = True
24.3918 	EXP 	grating: tex = 'sin'
24.7075 	EXP 	grating: autoDraw = False
24.9038 	DATA 	Keypress: up
25.3547 	EXP 	New trial (rep=1, index=0): None
25.3658 	EXP 	fixation: autoDraw = False
25.3658 	EXP 	grating: autoDraw = False
25.3658 	EXP 	grating: ori = 0.0
25.3658 	EXP 	fixation: autoDraw = True
25.3658 	EXP 	grating: autoDraw = True
25.5858 	DATA 	Keypress: down
25.6815 	EXP 	grating: autoDraw = False
26.1180 	DATA 	Keypress: up
26.3700 	EXP 	New trial (rep=2, index=0): None
26.3811 	EXP 	fixation: autoDraw = False
26.3811 	EXP 	fixation: autoDraw = False
26.3811 	EXP 	grating: autoDraw = False
26.3811 	EXP 	grating: ori = 1.0
26.3811 	EXP 	fixation: autoDraw = True
26.3811 	EXP 	grating: autoDraw = True
26.6814 	EXP 	grating: autoDraw = False
26.7178 	DATA 	Keypress: down
27.3811 	EXP 	fixation: autoDraw = False
27.3861 	EXP 	New trial (rep=3, index=0): None
27.3983 	EXP 	fixation: autoDraw = False
27.3983 	EXP 	grating: autoDraw = False
27.3983 	EXP 	grating: ori = 0.0
27.3983 	EXP 	fixation: autoDraw = True
27.3983 	EXP 	grating: autoDraw = True
27.5853 	DATA 	Keypress: up
27.6980 	EXP 	grating: autoDraw = False
28.3975 	EXP 	fixation: autoDraw = False
28.4022 	EXP 	New trial (rep=4, index=0): None
28.4145 	EXP 	fixation: autoDraw = False
28.4145 	EXP 	grating: autoDraw = False
28.4145 	EXP 	grating: ori = 3.0
28.4145 	EXP 	fixation: autoDraw = True
28.4145 	EXP 	grating: autoDraw = True
28.7146 	EXP 	grating: autoDraw = False
28.7180 	DATA 	Keypress: down
29.4145 	EXP 	fixation: autoDraw = False
29.4188 	EXP 	New trial (rep=5, index=0): None
29.4312 	EXP 	fixation: autoDraw = False
29.4312 	EXP 	grating: autoDraw = False
29.4312 	EXP 	grating: ori = 0.0
29.4312 	EXP 	fixation: autoDraw = True
29.4312 	EXP 	grating: autoDraw = True
29.7309 	EXP 	grating: autoDraw = False
29.8344 	DATA 	Keypress: up
30.4306 	EXP 	fixation: autoDraw = False
30.4360 	EXP 	New trial (rep=6, index=0): None
30.4473 	EXP 	fixation: autoDraw = False
30.4473 	EXP 	grating: autoDraw = False
30.4473 	EXP 	grating: ori = 0.0
30.4473 	EXP 	fixation: autoDraw = True
30.4473 	EXP 	grating: autoDraw = True
30.7475 	EXP 	grating: autoDraw = False
30.7839 	DATA 	Keypress: up
31.4472 	EXP 	fixation: autoDraw = False
31.4518 	EXP 	New trial (rep=7, index=0): None
